State,Registration Deadline In-Person,Registration Deadline By Mail,Registration Deadline Online,Election Day Registration,Online Registration Link,Description
"Alabama","2018-10-22","2018-10-22","2018-10-22","","https://web.archive.org/web/20190209174006/https://www.alabamavotes.gov/olvr/default.aspx","Postmarked or submitted 15 days before the election."
"Alaska","2018-10-07","2018-10-07","2018-10-07","","https://web.archive.org/web/20190209174006/https://voterregistration.alaska.gov/","Postmarked or submitted 30 days before the election."
"Arizona","2018-10-09","2018-10-09","2018-10-09","","https://web.archive.org/web/20190209174006/https://servicearizona.com/webapp/evoter/selectLanguage","Received 29 days before Election Day."
"Arkansas","2018-10-09","2018-10-09","2018-10-09","","","Postmarked or submitted 30 days before Election Day.  If it falls on a Sunday, 29 days before Election Day."
"California","2018-11-06","2018-10-29","2018-10-22","In-person through Election Day","https://web.archive.org/web/20190209174006/http://registertovote.ca.gov/","If the voter registration deadline has passed, you can still conditionally register to vote and cast a provisional ballot in person at your County Elections Office through Election Day."
"Colorado","2018-11-06","2018-10-29","2018-10-29","In-person through Election Day","https://web.archive.org/web/20190209174006/https://www.sos.state.co.us/voter-classic/secuVerifyExist.do","You can register and cast a ballot up through Election Day by appearing in-person at a Voter Service and Polling Center."
"Connecticut","2018-10-30","2018-10-30","2018-10-30","Or in-person on Election Day","https://web.archive.org/web/20190209174006/https://voterregistration.ct.gov/OLVR/welcome.do","Postmarked or submitted 7 days before the election online, mail or in person. On Election Day at designated locations in each city or town."
"Delaware","2018-10-13","2018-10-13","2018-10-13","","https://web.archive.org/web/20190209174006/https://ivote.de.gov/voterlogin.aspx","Postmarked or submitted by the fourth Saturday before a general or primary election."
"District of Columbia","2018-11-06","2018-10-16","2018-10-16","In-person through Election Day","https://web.archive.org/web/20190209174006/https://www.vote4dc.com/Voter/Home/SearchMain","Received 21 days before the election."
"Florida","2018-10-09","2018-10-09","2018-10-09","","https://web.archive.org/web/20190209174006/https://registertovoteflorida.gov/en/Registration/Index","Postmarked or submitted 29 days before Election Day.  If you have returned from a deployment outside the US after the deadline you can register until 5 pm, Nov. 2."
"Georgia","2018-10-09","2018-10-09","2018-10-09","","https://web.archive.org/web/20190209174006/https://registertovote.sos.ga.gov/GAOLVR/#no-back-button","Postmarked or submitted 29 days before Election Day."
"Hawaii","2018-10-09","2018-10-09","2018-10-09","Or in-person on Election Day","https://web.archive.org/web/20190209174006/https://olvr.hawaii.gov/%28S%28hj2uglexu4a4fznh5odixv5u%29%29/Default.aspx","Received 29 days before Election Day."
"Idaho","2018-10-12","2018-10-12","2018-10-12","In-person through Election Day","https://web.archive.org/web/20190209174006/https://apps.idahovotes.gov/OnlineVoterRegistration","Postmarked or submitted 25 days before Election Day. On Election Day with proof of residence at your polling place."
"Illinois","2018-11-06","2018-10-09","2018-10-21","In-person through Election Day","https://web.archive.org/web/20190209174006/https://ova.elections.il.gov/RegistrationClosed.aspx","Postmarked or submitted 28 days before the election. In person anytime after mail deadline and on Election Day at sites designated by your county election office."
"Indiana","2018-10-09","2018-10-09","2018-10-09","","https://web.archive.org/web/20190209174006/https://indianavoters.in.gov/PublicSite/OVR/Introduction.aspx?Link=Polling","Postmarked or submitted 29 days before the election."
"Iowa","2018-10-27","2018-10-27","2018-10-27","Or in-person on Election Day","https://web.archive.org/web/20190209174006/https://mymvd.iowadot.gov/Account/Login?ReturnUrl=%2fVoterRegistration","Received 10 days before election. On Election Day at your polling place."
"Kansas","2018-10-16","2018-10-16","2018-10-16","","https://web.archive.org/web/20190209174006/https://www.kdor.org/voterregistration/Default.aspx","Postmarked or submitted online or in person 21 days before the election if mailed."
"Kentucky","2018-10-09","2018-10-09","2018-10-09","","https://web.archive.org/web/20190209174006/https://vrsws.sos.ky.gov/ovrweb/","Postmarked or submitted 29 days before the election."
"Louisiana","2018-10-09","2018-10-09","2018-10-16","","https://web.archive.org/web/20190209174006/https://onlinevoterregistration.sos.la.gov/?Referrer=http%3A%2F%2Fwww.sos.la.gov%2FElectionsAndVoting%2FRegisterToVote%2FPages%2Fdefault.aspx","Received 30 days before Election Day unless that falls on a Sunday, in which case it is 29 days before Election Day."
"Maine","2018-11-06","2018-10-16","2018-10-16","In-person on Election Day","","If mailed or from a registration drive, received by the 21st day before the election. Anytime in-person at your election office and on Election Day at your polling place."
"Maryland","2018-11-01","2018-10-16","2018-10-16","Or in-person during early voting","https://web.archive.org/web/20190209174006/https://voterservices.elections.state.md.us/OnlineVoterRegistration/VoterType","Postmarked or submitted 21 days before the election."
"Massachusetts","2018-10-17","2018-10-17","2018-10-17","","https://web.archive.org/web/20190209174006/https://www.sec.state.ma.us/ovr/","Postmarked or submitted 20 days before the election."
"Michigan","2018-10-09","2018-10-09","2018-10-09","","","Postmarked or submitted 30 days before the election."
"Minnesota","2018-11-06","2018-10-16","2018-10-16","In-person through Election Day","https://web.archive.org/web/20190209174006/https://mnvotes.sos.state.mn.us/VoterRegistration/VoterRegistrationStep1.aspx","Received 21 days before the election. On Election Day at your polling place."
"Mississippi","2018-10-08","2018-10-09","2018-10-09","","","Postmarked or submitted by the 5th Saturday before Election Day."
"Missouri","2018-10-10","2018-10-10","2018-10-10","","https://web.archive.org/web/20190209174006/http://s1.sos.mo.gov/elections/goVoteMissouri/register.aspx","Postmarked or submitted by the 4th Wednesday before Election Day."
"Montana","2018-11-06","2018-10-09","2018-10-09","In-person through Election Day","","Postmarked 30 days before the election unless it’s a Sunday in which case it’s 29 days. In person anytime after the advance deadline at your county election office including on Election Day."
"Nebraska","2018-10-26","2018-10-19","2018-10-19","","https://web.archive.org/web/20190209174006/https://www.nebraska.gov/apps-sos-voter-registration/","Postmarked the third Friday before the election by mail. Received in person from voter at local election office the second Friday before the election."
"Nevada","2018-10-16","2018-10-09","2018-10-18","","https://web.archive.org/web/20190209174006/https://nvsos.gov/sosvoterservices/Registration/step1.aspx","31 days before Election Day by mail. 21 days if online or in-person."
"New Hampshire","2018-11-06","2018-10-24","2018-10-24","In-person through Election Day","","Received 10 days before the election by mail. On Election Day at your polling place."
"New Jersey","2018-10-16","2018-10-16","2018-10-16","","","Received 21 days before the election. On Election Day at your polling place."
"New Mexico","2018-10-09","2018-10-09","2018-10-09","","https://web.archive.org/web/20190209174006/https://portal.sos.state.nm.us/OVR/%28S%28dyulgu4zbqvffujw1uvhzm11%29%29/WebPages/InstructionsStep1.aspx","Postmarked or submitted 28 days before the election. In person anytime after mail deadline and on Election Day at sites designated by your county election office."
"New York","2018-10-12","2018-10-12","2018-10-12","","https://web.archive.org/web/20190209174006/http://dmv.ny.gov/more-info/electronic-voter-registration-application","Postmarked 25 days and received 20 days before the election. Submitted in-person 25 days before the election."
"North Carolina","2018-11-03","2018-10-12","2018-10-12","","","Postmarked or submitted 25 days before the election."
"North Dakota","2018-01-01","2018-01-01","2018-01-01","","","North Dakota does not have voter registration."
"Ohio","2018-10-09","2018-10-09","2018-10-09","","https://web.archive.org/web/20190209174006/https://olvr.sos.state.oh.us/","Received 30 days before election."
"Oklahoma","2018-10-12","2018-10-12","2018-10-12","","https://web.archive.org/web/20190209174006/https://www.ok.gov/elections/Online_Voter_Registration.html","Postmarked or submitted 25 days before the election."
"Oregon","2018-10-16","2018-10-16","2018-10-16","","https://web.archive.org/web/20190209174006/https://secure.sos.state.or.us/orestar/vr/register.do?lang=eng&source=SOS","Received 21 days before the election"
"Pennsylvania","2018-10-09","2018-10-09","2018-10-09","","https://web.archive.org/web/20190209174006/https://www.pavoterservices.state.pa.us/Pages/VoterRegistrationApplication.aspx","Received 30 days before the election. On Election Day at city or town hall in presidential year for office of president only."
"Rhode Island","2018-10-07","2018-10-07","2018-10-07","","https://web.archive.org/web/20190209174006/https://vote.sos.ri.gov/ovr","Received 30 days before the election. On Election Day at city or town hall in presidential year for office of president only."
"South Carolina","2018-10-17","2018-10-17","2018-10-17","","https://web.archive.org/web/20190209174006/https://info.scvotes.sc.gov/eng/ovr/start.aspx","Postmarked or submitted 30 days before the election."
"South Dakota","2018-10-22","2018-10-22","2018-10-22","","","Received 15 days before the election."
"Tennessee","2018-10-09","2018-10-09","2018-10-09","","https://web.archive.org/web/20190209174006/https://ovr.govote.tn.gov/","Postmarked or submitted 30 days before the election."
"Texas","2018-10-09","2018-10-09","2018-10-09","","","Postmarked or submitted 30 days before the election."
"Utah","2018-10-30","2018-10-09","2018-10-30","","https://web.archive.org/web/20190209174006/https://secure.utah.gov/voterreg/index.html","Postmarked 30 days before the election by mail. Submitted 7 days before election online or in person at county election office."
"Vermont","2018-11-06","2018-11-06","2018-11-06","In-person through Election Day","https://web.archive.org/web/20190209174006/https://olvr.sec.state.vt.us/",""
"Virginia","2018-10-15","2018-10-15","2018-10-15","","https://web.archive.org/web/20190209174006/https://www.vote.virginia.gov/","Postmarked or submitted 22 days before the election."
"Washington","2018-10-29","2018-10-08","2018-10-08","","https://web.archive.org/web/20190209174006/http://www.sos.wa.gov/elections/myvote/olvr.html","Postmarked or submitted the Monday four weeks before the election by mail or online. Submitted in person on the Monday one week before the election in person."
"West Virginia","2018-10-16","2018-10-16","2018-10-16","","https://web.archive.org/web/20190209174006/https://ovr.sos.wv.gov/Register#Qualifications","Postmarked or submitted 21 days before the election."
"Wisconsin","2018-11-06","2018-10-17","2018-10-17","In-person through Election Day","https://web.archive.org/web/20190209174006/https://myvote.wi.gov/en-us/RegisterToVote","Postmarked 20 days before the election. In-person by the voter the Friday before the election. On Election Day at your polling place."
"Wyoming","2018-11-06","2018-10-22","2018-10-22","In-person through Election Day","","You may register and vote at the same time — during the absentee voting period or on Election Day."